epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1020.43,1.17125,0.85224,0.9027,0.57954,0.512,0.55594,0.29893,1.52394,1.43059,1.10527,0.000990365,0.000990365,0.000990365
43,1044.25,1.2293,0.87605,0.9095,0.58423,0.53113,0.55024,0.30463,1.49685,1.42713,1.105,0.000973861,0.000973861,0.000973861
44,1068.72,1.25666,0.88022,0.90816,0.61198,0.52425,0.55983,0.30633,1.49775,1.35128,1.11984,0.000957358,0.000957358,0.000957358
45,1093.6,1.19878,0.84769,0.91478,0.63529,0.52217,0.56646,0.31264,1.50897,1.3736,1.11141,0.000940855,0.000940855,0.000940855
46,1119.92,1.12301,0.86066,0.90877,0.62313,0.50544,0.5684,0.31266,1.47966,1.38609,1.10021,0.000924352,0.000924352,0.000924352
47,1145.41,1.15686,0.85423,0.9021,0.69455,0.48515,0.57829,0.3262,1.4085,1.40908,1.07956,0.000907848,0.000907848,0.000907848
48,1171.81,1.19373,0.81332,0.88901,0.67272,0.45932,0.54332,0.31834,1.39538,1.56381,1.07836,0.000891345,0.000891345,0.000891345
49,1195.17,1.15719,0.83033,0.89842,0.66597,0.46777,0.53951,0.3205,1.393,1.58363,1.08767,0.000874842,0.000874842,0.000874842
50,1219.58,1.16625,0.8378,0.90619,0.6636,0.47478,0.5567,0.32676,1.3929,1.55284,1.08455,0.000858338,0.000858338,0.000858338
51,1244.72,1.11162,0.79338,0.89234,0.64942,0.50615,0.56189,0.33589,1.36822,1.4747,1.07275,0.000841835,0.000841835,0.000841835
52,1269.07,1.22496,0.84161,0.91937,0.65215,0.54523,0.60854,0.35827,1.36213,1.26518,1.07847,0.000825332,0.000825332,0.000825332
53,1293.27,1.15661,0.81239,0.89354,0.69027,0.5381,0.61579,0.36416,1.36825,1.21146,1.08268,0.000808828,0.000808828,0.000808828
54,1319.26,1.10861,0.80278,0.91444,0.6688,0.54413,0.61338,0.35221,1.37056,1.22052,1.08618,0.000792325,0.000792325,0.000792325
55,1343.36,1.1692,0.80209,0.89028,0.61498,0.57967,0.60828,0.35322,1.37578,1.23649,1.09214,0.000775822,0.000775822,0.000775822
56,1368.07,1.16015,0.82918,0.92403,0.65432,0.60631,0.61881,0.35389,1.38757,1.29414,1.08697,0.000759318,0.000759318,0.000759318
57,1392.97,1.11377,0.78095,0.89102,0.65449,0.60063,0.62119,0.35871,1.3878,1.30141,1.08667,0.000742815,0.000742815,0.000742815
58,1418.89,1.13399,0.78928,0.90169,0.66707,0.59912,0.63055,0.35461,1.3748,1.25714,1.07547,0.000726312,0.000726312,0.000726312
59,1443.83,1.13591,0.80415,0.88699,0.65724,0.59921,0.64628,0.36394,1.3728,1.21153,1.06562,0.000709809,0.000709809,0.000709809
60,1468.13,1.14353,0.79917,0.89611,0.71791,0.53617,0.63247,0.36891,1.39119,1.18992,1.06088,0.000693305,0.000693305,0.000693305
61,1491.92,1.13367,0.78966,0.907,0.67134,0.53783,0.61675,0.36264,1.38995,1.20294,1.06617,0.000676802,0.000676802,0.000676802
62,1517.84,1.043,0.7655,0.89051,0.67703,0.54263,0.60722,0.35365,1.39187,1.20666,1.07395,0.000660299,0.000660299,0.000660299
63,1542.63,1.10533,0.77238,0.89124,0.67216,0.56013,0.59819,0.34332,1.39647,1.19679,1.07279,0.000643795,0.000643795,0.000643795
64,1567.02,1.13757,0.80327,0.90382,0.66565,0.54744,0.59781,0.34315,1.42169,1.18728,1.0905,0.000627292,0.000627292,0.000627292
65,1593.49,1.11844,0.78157,0.8848,0.63723,0.55697,0.59851,0.34511,1.41217,1.19645,1.08612,0.000610789,0.000610789,0.000610789
66,1618.4,1.09816,0.78731,0.88038,0.6654,0.56165,0.61125,0.35615,1.38324,1.19409,1.07409,0.000594286,0.000594286,0.000594286
67,1643.48,1.03194,0.75569,0.88539,0.65132,0.55067,0.61508,0.36155,1.36245,1.16157,1.07195,0.000577782,0.000577782,0.000577782
68,1670.17,1.04114,0.74511,0.87649,0.6486,0.55839,0.61549,0.35861,1.38253,1.18879,1.07784,0.000561279,0.000561279,0.000561279
69,1695.84,1.08097,0.74463,0.88393,0.63813,0.54389,0.6101,0.35815,1.39035,1.20537,1.08383,0.000544776,0.000544776,0.000544776
70,1720.81,1.07592,0.7404,0.87465,0.62815,0.55788,0.61199,0.35693,1.38663,1.20809,1.08401,0.000528272,0.000528272,0.000528272
71,1745.13,1.09133,0.75139,0.87526,0.59289,0.56935,0.60439,0.35832,1.37194,1.19197,1.08336,0.000511769,0.000511769,0.000511769
72,1769.45,1.15592,0.76802,0.8825,0.59093,0.60824,0.62989,0.37201,1.34503,1.14099,1.07615,0.000495266,0.000495266,0.000495266
73,1796.53,1.03052,0.72256,0.88595,0.61644,0.60867,0.63953,0.37578,1.33331,1.11552,1.07215,0.000478762,0.000478762,0.000478762
74,1822.51,1.06634,0.73975,0.87755,0.64275,0.58261,0.64351,0.38053,1.33156,1.10775,1.0655,0.000462259,0.000462259,0.000462259
75,1848.64,1.12162,0.75571,0.89145,0.62582,0.61174,0.64829,0.38372,1.35016,1.11851,1.07049,0.000445756,0.000445756,0.000445756
76,1873.78,1.08827,0.73431,0.86659,0.65781,0.57053,0.64003,0.36493,1.40634,1.14032,1.08295,0.000429253,0.000429253,0.000429253
77,1898.99,1.0252,0.76016,0.88982,0.66121,0.56722,0.63661,0.36219,1.4073,1.14937,1.07938,0.000412749,0.000412749,0.000412749
78,1924.23,1.04636,0.7304,0.88569,0.68422,0.56032,0.63767,0.36577,1.3886,1.13214,1.07516,0.000396246,0.000396246,0.000396246
79,1949.4,1.02,0.72163,0.8796,0.70765,0.55976,0.64822,0.36792,1.37027,1.11296,1.07356,0.000379743,0.000379743,0.000379743
80,1974.94,1.05127,0.72337,0.87354,0.69013,0.56724,0.6475,0.37233,1.36585,1.12892,1.06914,0.000363239,0.000363239,0.000363239
81,2000.15,1.0719,0.75964,0.85714,0.66586,0.59289,0.64449,0.36855,1.3761,1.14222,1.07094,0.000346736,0.000346736,0.000346736
82,2025.8,1.03741,0.71473,0.87041,0.67637,0.5876,0.63408,0.36805,1.37782,1.14241,1.0724,0.000330233,0.000330233,0.000330233
83,2052.8,1.01215,0.71723,0.86829,0.72128,0.53798,0.63799,0.37139,1.38222,1.14046,1.07825,0.000313729,0.000313729,0.000313729
84,2078.06,0.97939,0.70506,0.86743,0.6995,0.54361,0.64177,0.37159,1.38703,1.12805,1.08141,0.000297226,0.000297226,0.000297226
85,2103.38,0.96329,0.68755,0.86949,0.70221,0.55418,0.64414,0.36603,1.38758,1.13728,1.08192,0.000280723,0.000280723,0.000280723
86,2128.78,1.05117,0.71476,0.88848,0.67095,0.55682,0.63218,0.35833,1.38512,1.14107,1.0825,0.00026422,0.00026422,0.00026422
87,2153.99,1.01785,0.71097,0.86426,0.65911,0.55459,0.61804,0.35922,1.38442,1.14741,1.08285,0.000247716,0.000247716,0.000247716
88,2179.59,1.03593,0.70002,0.8559,0.63619,0.58739,0.63161,0.3597,1.38614,1.14259,1.08388,0.000231213,0.000231213,0.000231213
89,2204.76,1.04338,0.71441,0.86678,0.63799,0.58369,0.6263,0.3637,1.38494,1.12172,1.08537,0.00021471,0.00021471,0.00021471
90,2229.99,1.01771,0.71519,0.87219,0.67603,0.59272,0.63532,0.37001,1.3758,1.09758,1.08101,0.000198206,0.000198206,0.000198206
91,2254.82,0.96697,0.78843,0.85608,0.65966,0.62364,0.65202,0.37338,1.3616,1.084,1.07408,0.000181703,0.000181703,0.000181703
92,2279.7,1.00752,0.79137,0.85336,0.68549,0.64027,0.65205,0.37721,1.35488,1.09144,1.06897,0.0001652,0.0001652,0.0001652
93,2304.46,0.92226,0.73238,0.85523,0.66953,0.62963,0.64836,0.37324,1.35635,1.12074,1.07117,0.000148696,0.000148696,0.000148696
94,2329.06,0.89347,0.70727,0.84508,0.68401,0.6015,0.64126,0.3711,1.35885,1.1519,1.06977,0.000132193,0.000132193,0.000132193
95,2353.94,0.88753,0.71248,0.8412,0.7227,0.58873,0.65325,0.37475,1.35991,1.17619,1.06672,0.00011569,0.00011569,0.00011569
96,2378.57,0.8988,0.70419,0.87817,0.73816,0.59724,0.65989,0.3791,1.35508,1.17274,1.06081,9.91865e-05,9.91865e-05,9.91865e-05
97,2405.17,0.90872,0.70896,0.83776,0.73887,0.59409,0.66529,0.38681,1.3499,1.15791,1.05732,8.26832e-05,8.26832e-05,8.26832e-05
98,2430,0.90537,0.68514,0.85191,0.73295,0.60102,0.66682,0.3907,1.34556,1.13827,1.05553,6.61799e-05,6.61799e-05,6.61799e-05
99,2454.88,0.94093,0.71237,0.85477,0.71715,0.60528,0.66856,0.39099,1.34049,1.12169,1.05398,4.96766e-05,4.96766e-05,4.96766e-05
100,2480.53,0.93876,0.70002,0.83605,0.70165,0.60945,0.67682,0.39609,1.33275,1.10142,1.04971,3.31733e-05,3.31733e-05,3.31733e-05
